survived,pclass,sex,age,sibsp,parch,fare,embarked
1,1,female,,1,2,108.7386,S
0,3,male,53.9,2,0,15.2054,S
0,2,female,41.4,0,0,26.702,C
0,2,male,,0,0,21.5532,S
0,3,male,,1,0,14.2535,Q
0,3,male,15.2,0,2,16.7588,S
0,3,male,12.5,2,1,19.8816,S
1,2,female,13.5,0,0,37.3563,C
0,3,male,15.5,0,0,9.7093,S
0,1,male,23.6,0,1,21.85,S
1,3,female,33.4,4,0,12.2156,S
1,3,female,13.1,2,0,18.8453,S
0,3,female,,0,0,6.8625,S
0,3,male,,0,2,19.86,S
0,3,male,42.1,1,0,13.9672,S
0,3,male,45.1,1,0,12.9061,Q
1,1,male,9.9,0,0,24.316,S
0,2,male,36.4,0,0,24.2489,C
1,3,male,,0,0,13.5329,S
0,3,male,32.1,0,2,16.5594,S
0,3,male,35.2,0,1,18.6443,C
0,3,male,11.6,1,0,5.1,C
1,3,female,,0,0,2.75,Q
0,3,male,71.9,0,0,4.5373,S
0,3,male,5.5,1,0,7.2514,S
0,3,male,35.6,0,0,13.3563,S
1,2,female,17.5,0,1,19.218,C
0,2,male,19.7,0,0,30.6846,C
1,3,female,29.9,0,0,13.1431,S
1,1,female,,0,1,21.85,S
1,3,female,37.1,0,2,16.9043,S
0,3,male,16,0,0,10.7977,S
0,3,male,48.6,1,2,9.8,S
0,3,male,,1,0,12.2904,C
0,3,male,57.2,1,0,14.3027,S
0,3,female,36,0,0,10.7872,Q
1,3,male,36,0,0,5.8772,C
0,3,male,30.1,1,0,5.1,C
0,2,male,33.7,0,3,46.7884,S
0,3,male,37.3,1,0,13.8767,S
1,1,male,28.9,0,0,79.7114,S
0,3,male,34,0,0,14.8813,S
0,3,male,40.9,1,0,11.848,S
0,3,male,36.3,1,0,25.7204,S
1,3,male,,1,2,15.7794,C
0,3,male,5.3,5,0,22.2222,S
0,3,male,29.7,0,0,11.7664,S
0,3,male,21.9,0,0,12.6818,S
0,2,male,46.4,0,2,40.5717,S
1,2,female,18.5,0,0,26.4451,S
0,3,male,,0,0,6.1534,C
0,3,male,41.4,0,1,15.3693,Q
1,3,male,26.9,0,0,6.3936,S
1,3,female,45.4,0,0,9.9771,S
1,3,male,,0,0,8.845,S
1,3,female,,0,1,10.7719,S
0,3,male,53,1,0,11.448,S
1,2,female,17,0,0,19.0559,C
0,3,male,9.7,0,1,22.2109,S
1,1,male,58,0,0,106.8106,C
1,3,female,23.8,0,2,7.45,S
1,1,female,10.9,0,0,86.1132,S
1,2,female,33.2,0,1,35.5604,S
0,3,female,41.6,0,0,4.8584,C
1,3,male,34.4,1,0,13.6205,S
0,3,male,24.5,0,0,9.5884,C
0,3,female,,1,2,17.1325,C
1,2,female,23.5,2,1,40.6481,S
1,3,male,10.1,0,0,5.9207,S
1,3,female,20.3,0,0,13.3939,S
1,3,female,22.2,0,0,5.2852,S
1,1,male,29.9,0,0,67.8077,S
0,2,female,20,0,1,36.3446,S
1,1,male,34.4,0,4,51.9488,S
1,2,female,,0,0,20.9237,S
1,3,male,62.2,3,0,11.8052,S
0,3,male,22.4,0,0,15.5934,S
1,2,female,25.7,1,0,34.4942,S
0,3,male,50,0,3,12.1735,S
0,3,male,23.7,1,0,13.1089,S
1,2,female,49.9,0,0,26.7867,S
0,2,male,40.5,0,1,26.6088,S
1,1,male,16,1,0,202.3471,S
1,3,female,2.9,1,0,5.244,C
0,3,male,24.2,0,0,15.4939,S
0,2,male,45.8,0,2,29.9451,Q
1,1,female,19.1,2,0,51.9666,S
1,3,female,23.4,1,1,17.2414,S
0,1,male,15.4,0,0,19.5,S
0,3,male,30,0,0,8.8897,S
1,3,female,22.4,0,0,15.0843,C
0,3,male,,0,3,18.0752,S
0,3,male,,1,0,21.7377,S
0,3,male,,0,0,8.2066,S
1,3,female,24,0,0,13.4899,S
0,3,male,6.8,1,0,10.2135,S
0,3,male,19.4,1,0,15.2575,S
0,2,male,32.6,0,0,29.7011,C
1,1,female,10.1,1,0,21.85,C
1,2,male,23.8,0,0,49.9173,S
1,3,female,19.8,1,0,13.3558,S
0,3,male,25.8,1,0,18.7758,S
0,1,male,49.1,0,0,19.5,S
0,3,male,17.1,0,0,17.7056,S
0,3,male,35.2,1,2,16.8265,S
0,3,male,37.9,1,0,7.8448,S
1,3,female,43.4,0,0,3.4,S
0,3,male,4.4,0,1,15.4256,C
1,3,female,30.9,0,0,5.1861,C
1,3,female,,0,0,10.4586,Q
0,2,male,,0,0,41.6786,C
0,1,male,39,0,0,25.8806,Q
0,3,male,16.2,1,2,20.8384,C
0,3,male,58.5,1,0,21.7719,C
0,1,male,16.3,0,1,104.7254,S
0,3,male,0.42,1,0,7.2052,Q
0,1,male,16.4,0,0,45.3914,S
1,3,female,37.9,0,0,2.75,S
1,2,male,36.2,2,1,47.0355,S
1,3,female,38.9,0,1,17.0205,S
0,3,male,7,0,0,4.7465,C
1,1,male,23.9,0,0,102.6901,S
0,3,male,6.3,0,0,18.4231,S
0,3,male,,0,1,7.636,S
0,3,male,5.6,0,0,18.8894,S
0,2,male,,0,1,8.7074,C
1,1,female,24.1,0,0,108.3666,S
0,3,male,18.6,2,1,21.9282,C
0,3,male,43.6,0,2,8.1075,C
0,3,female,29.8,2,0,15.464,S
1,3,male,26.9,0,0,5.9274,S
1,1,female,30.4,0,2,206.7696,C
1,2,female,24,2,0,29.6499,S
0,2,male,14.5,0,0,32.439,S
0,3,male,55.3,2,0,10.4902,Q
1,2,male,48.7,2,0,51.1386,C
1,3,female,30.4,0,0,10.5814,S
0,3,female,19.9,1,0,14.118,S
0,3,male,37.8,1,0,5.1,S
0,3,female,24.4,0,2,15.5645,C
0,3,male,43,0,0,6.0749,C
0,3,male,41.3,0,0,8.6879,S
1,3,female,36.5,1,0,5.1,S
0,1,male,32.8,0,0,163.8578,C
0,2,male,24.1,0,0,15.055,S
0,3,male,,0,0,13.9249,C
1,3,female,43.9,0,0,10.9687,S
0,3,male,,0,0,22.5282,S
1,3,female,12.6,1,4,26.5679,S
0,1,male,25.5,0,0,19.5,Q
1,3,female,11.3,2,1,15.458,S
1,3,male,43.3,0,0,18.9498,Q
0,2,male,,0,0,15.6869,S
0,3,male,42.1,1,0,6.7562,C
1,1,female,26.1,0,0,79.623,S
0,3,male,27.2,0,1,20.2861,C
1,1,female,33.5,0,0,19.5,S
1,1,female,12.4,0,3,73.991,S
0,1,male,51.6,0,2,160.1819,S
0,2,male,42.3,0,0,13.767,S
0,3,male,36.6,1,2,17.5855,S
0,2,male,32,0,0,21.9448,S
1,3,female,35.4,1,0,23.4808,S
1,1,male,6,0,1,121.6092,S
0,3,male,,1,5,17.0083,C
1,3,male,41.5,0,0,3.2231,C
0,2,male,,0,0,15.3636,C
0,3,male,30.7,0,0,9.7781,S
0,3,male,14.4,0,0,8.7005,C
0,2,male,,1,3,33.7561,S
1,3,female,29.3,1,0,16.3806,S
1,2,male,29.9,0,0,6,S
1,1,female,38.5,0,1,191.5012,S
1,3,female,45.2,1,2,20.9167,C
1,2,male,8,0,0,36.6911,S
1,3,female,,1,0,18.5004,C
0,3,male,22.4,1,0,14.794,S
0,3,female,,0,0,8.3492,Q
1,3,female,39.6,0,0,3.8264,S
0,1,male,13.4,1,0,77.7154,S
0,2,male,24.6,0,0,14.9002,S
1,3,female,19.8,2,2,26.5027,S
1,3,female,13.4,1,0,5.1,S
0,1,male,41,0,0,127.356,C
0,3,male,,1,0,18.3478,S
0,1,male,30.9,0,0,76.0109,Q
0,3,male,38,1,0,23.0116,S
0,3,male,44.1,1,3,20.3389,S
0,3,male,49.6,0,0,16.5161,S
1,1,female,37.4,0,0,104.8193,S
0,3,male,31.7,0,0,3.3473,C
0,1,male,12.1,3,2,75.0034,S
0,1,male,,1,0,21.85,C
1,2,male,23,0,3,14.3956,C
0,1,male,35.2,1,0,161.6505,S
0,3,male,34.6,0,0,15.1731,S
0,3,male,,0,0,11.9775,C
1,3,female,,1,0,19.7585,S
0,3,male,,0,0,13.1053,S
0,2,male,26.3,0,0,13.4159,S
0,3,male,,0,0,13.6668,C
1,3,male,44.5,0,0,19.6795,S
1,1,female,,0,5,31.25,S
0,1,male,31.6,0,1,125.7704,S
1,3,female,,1,1,18.9273,S
0,3,male,41.7,0,0,14.7175,C
0,2,male,35.3,0,0,11.5461,S
0,3,male,29.6,0,0,15.402,Q
0,3,male,37,0,0,12.4282,C
0,1,male,26.2,1,2,89.4982,S
0,1,male,12.6,0,0,133.7295,S
0,3,male,28.2,0,0,11.8334,S
1,3,female,47.2,1,1,14.2415,Q
1,3,female,,0,0,6.7011,S
1,1,female,22.1,0,0,144.0542,S
0,2,male,25.5,1,0,24.1209,Q
0,3,male,46,0,0,16.0389,Q
0,3,female,42,0,1,11.22,S
0,3,male,11.1,2,0,21.0223,C
0,3,female,22.4,0,0,12.7343,S
1,2,female,43.8,0,0,37.7051,S
1,3,female,57.9,0,0,5.2151,S
1,3,female,,1,0,19.2714,S
0,3,male,31,1,0,18.7869,C
1,3,female,,1,1,19.1231,S
1,3,male,41.6,0,0,13.1697,C
0,2,male,,0,0,19.6352,S
0,2,male,27.5,0,0,6,S
0,3,female,34.2,0,0,10.3515,S
0,3,male,43.8,0,0,12.3684,S
1,2,female,44.5,1,0,34.1451,S
0,3,female,27.7,0,0,5.8257,S
0,3,male,23.5,0,0,14.2873,S
0,3,male,,0,0,10.125,C
1,3,female,32.1,1,0,9.8121,S
0,3,female,19.6,0,2,12.5182,S
1,1,female,25.7,0,0,86.7989,S
1,3,female,9,0,0,14.6976,S
0,2,male,40.8,0,0,30.3935,S
0,3,male,45.9,0,0,12.7932,S
1,1,female,11.1,3,0,135.2051,C
0,1,male,25.3,0,0,19.5,S
0,2,female,0.42,0,1,21.4914,S
1,3,female,24.4,2,2,27.1466,S
1,3,female,65.4,1,0,14.7672,S
1,2,female,32,2,0,24.9555,C
0,3,male,21.6,0,0,16.3676,S
1,2,male,44.6,0,0,17.5284,S
0,3,male,,0,0,16.0112,C
1,3,female,,0,0,4.667,S
1,2,female,18.2,1,0,33.0785,S
1,1,male,31.1,0,0,96.0354,S
1,3,female,35.1,0,0,12.282,S
0,3,male,,0,0,4.8974,C
0,1,male,28.8,1,0,52.8757,S
1,2,female,6.6,0,0,35.6567,S
1,1,male,53.1,0,1,82.0385,S
0,1,male,41.8,0,0,159.1851,S
0,1,male,42.9,0,0,19.5,S
0,3,male,30,0,0,12.9291,S
0,3,male,10.7,0,0,14.4267,S
1,1,male,9.5,1,0,95.3252,S
0,1,male,14.3,0,0,109.4139,S
1,3,male,23.6,0,2,17.0609,S
0,3,male,12,1,0,19.5979,C
0,2,male,51.5,0,0,19.9935,S
0,3,male,47.1,0,0,4.703,S
0,3,male,46.3,0,0,7.0502,Q
0,1,male,20.5,0,0,97.2376,S
0,2,male,30.7,0,0,25.5257,S
1,2,female,54.3,0,0,21.3763,S
0,3,male,,0,1,16.8337,S
0,3,male,29.2,0,0,11.7503,S
0,3,male,39.8,2,0,11.1223,S
1,1,female,49.7,0,0,82.4136,C
0,2,male,,1,0,28.3059,S
1,2,female,12.6,0,0,18.3715,S
1,2,male,36.3,3,1,58.1509,S
1,2,female,20.2,1,0,34.0863,C
1,1,female,43.8,1,1,116.6849,S
1,1,male,,1,0,127.9505,S
1,1,female,50.3,0,0,19.5,Q
1,3,female,36.6,1,0,5.1,S
1,3,female,21.7,0,0,9.3195,S
0,3,male,,0,2,7.45,S
0,2,female,20.9,0,0,34.749,S
0,3,male,13.7,1,1,14.7737,C
1,1,male,30.2,0,0,55.8419,C
0,3,female,26,1,0,11.7217,S
0,3,female,4.5,0,0,10.8474,C
0,3,male,59.9,4,0,21.2662,C
0,3,male,42.5,0,1,15.5101,S
0,3,male,21.7,0,1,12.1897,S
1,2,male,8.6,0,0,19.66,S
1,2,female,42.5,3,2,38.8854,S
0,3,male,,0,0,7.1378,S
0,2,male,,0,0,21.0486,S
0,3,male,14.7,0,0,2.75,S
0,1,male,29,3,0,65.0507,S
1,1,female,,0,0,40.711,C
0,3,male,13.3,0,0,8.6784,S
0,3,female,39,1,0,7.3571,S
0,3,male,43.5,1,0,13.3372,S
1,3,female,51.9,0,0,10.4507,S
0,1,male,,0,0,21.6893,S
0,3,female,,0,0,13.5129,C
0,2,male,,0,0,10.3313,S
0,3,male,31.5,1,0,12.7775,Q
0,3,male,16.1,1,0,18.9607,C
1,3,female,9.8,0,1,7.6236,C
1,1,female,26,0,0,19.5,S
1,1,female,42.5,0,0,132.2497,S
1,3,female,42.8,0,2,8.1939,S
1,3,female,19.8,0,0,10.1281,S
0,2,male,47.8,1,0,37.3651,Q
0,2,male,25,0,0,6.4704,S
0,3,male,13.8,2,0,15.5776,C
1,3,male,37.9,0,0,11.4272,S
1,1,female,27.9,0,0,87.2789,S
0,3,male,26.6,0,0,8.2725,Q
1,1,female,18.5,1,0,99.5824,S
1,1,male,2.9,0,0,19.5,S
1,3,female,0.42,0,0,8.6044,S
1,3,male,27,0,1,10.3409,S
0,3,female,44,5,0,21.9084,C
1,1,female,21.8,0,0,19.5,Q
0,3,female,29,1,0,16.7073,S
1,1,male,29.8,0,1,113.8306,C
1,2,male,17,1,0,15.0116,S
0,1,male,,0,0,141.5157,Q
1,3,female,39.7,0,0,7.3941,S
0,3,male,,0,0,19.7806,S
1,3,female,61.1,0,2,15.3449,S
1,1,female,,0,1,144.2004,S
0,3,male,12,0,0,5.1438,S
0,3,male,71.2,2,0,11.2509,C
0,1,male,11.1,0,0,38.282,S
1,2,male,33.9,3,0,30.1557,C
0,3,male,38.1,4,0,22.603,S
0,3,male,13.6,0,0,5.7911,S
0,3,female,,0,0,8.982,S
0,3,male,35.3,0,0,17.0537,C
0,3,female,29.9,1,1,21.8254,C
0,2,male,,1,2,27.2238,S
0,3,female,47.8,0,0,3.4871,S
0,1,male,15.7,1,0,22.5566,S
0,3,male,22,0,0,12.7768,C
1,1,male,30.8,0,0,113.0469,S
1,3,female,,0,2,18.7037,C
0,3,male,28.5,1,0,8.5068,S
0,2,male,20.6,0,0,37.2499,C
1,3,female,42.7,0,0,3.2994,S
1,2,female,30.8,0,0,29.9934,Q
0,3,male,30.7,0,1,11.8489,S
0,3,male,29.6,0,2,21.6288,S
0,3,male,46.7,0,0,16.4717,S
1,3,female,39.5,0,0,8.1852,S
1,1,female,,1,0,21.85,Q
1,1,male,27.6,0,1,21.85,C
0,3,male,,1,0,17.9919,S
1,2,female,,0,0,25.968,S
1,2,female,24.2,0,1,28.3874,S
1,2,female,28.9,0,2,12.5846,S
0,3,male,,0,0,11.5577,S
0,2,male,13.2,1,0,40.6302,Q
0,3,male,34.3,0,1,13.9075,S
0,3,male,25.7,1,0,12.1029,S
1,2,male,27,0,2,32.035,S
1,1,female,32.5,0,0,147.0565,S
0,3,male,34.9,0,0,2.75,S
0,3,male,,0,0,18.0479,S
1,2,male,0.42,0,0,25.6086,S
0,3,male,,0,2,19.7509,S
0,3,male,32.6,0,0,9.0852,S
1,3,male,31.5,1,0,20.6221,S
1,3,female,37,0,1,13.6176,S
1,3,female,37.9,0,0,7.0592,Q
1,3,female,35.6,1,0,19.0365,Q
1,1,male,56.2,0,0,98.5773,S
0,1,male,53.6,0,1,21.85,C
1,2,female,33.7,2,1,30.8095,S
0,3,male,,0,1,16.8553,S
0,2,male,55.4,0,0,14.1882,S
0,3,male,34.3,1,0,11.9548,S
0,3,male,6.3,0,0,7.1181,S
1,2,male,7.1,0,0,19.3751,S
0,3,male,28.6,0,0,10.4856,S
0,3,male,26,0,0,9.7935,S
0,3,female,26.3,1,0,16.0147,S
0,3,male,48.4,0,1,15.959,S
1,1,female,21.7,1,0,211.1091,S
1,2,female,41.6,0,0,9.0959,C
0,3,male,25.1,0,0,9.5294,S
0,3,female,,1,0,17.0294,S
0,2,male,0.8271,1,0,20.7362,C
1,3,female,22.1,1,0,7.3079,S
0,3,male,26.4,0,2,18.4698,C
0,2,male,,1,0,19.609,S
0,3,male,6.2,0,0,14.9389,S
1,1,male,,0,2,86.9974,S
0,1,male,37.4,1,0,21.85,S
0,3,male,42.2,1,1,22.4621,S
0,3,female,46.1,0,0,12.915,S
1,1,male,43,0,1,121.2116,S
0,2,female,28.8,2,0,28.1702,S
1,3,male,16.7,0,0,8.3034,C
1,1,female,27.2,0,0,19.5,C
1,3,male,,0,0,8.4763,S
0,3,male,,2,1,16.7077,C
1,3,female,20.3,5,0,23.1127,C
0,3,female,30,0,0,6.6371,S
1,3,female,,0,0,10.8167,S
0,3,male,29.8,1,0,19.2043,S
1,2,male,,0,0,6,S
1,3,male,25.8,0,0,10.6448,C
0,2,male,33.5,0,0,19.6356,S
0,3,female,60.5,0,0,23.3764,S
1,2,male,27.5,0,0,16.8507,S
0,3,female,34.8,0,0,17.1943,S
1,3,female,40.7,0,0,11.4645,Q
0,1,female,,0,0,24.9571,S
1,3,female,29.6,0,0,18.4953,C
0,3,male,15.1,0,0,2.75,S
0,2,male,52.9,0,5,24.9777,Q
1,3,female,28.4,0,0,2.75,Q
0,3,male,40.6,0,0,12.8247,S
0,3,male,,1,0,16.5516,S
1,1,male,42.1,0,1,26.0457,S
1,3,female,10.7,0,0,3.7125,Q
1,1,male,20.5,0,1,77.9634,S
1,3,female,35.1,0,0,9.527,Q
1,1,male,20.7,1,0,21.85,S
1,3,female,49.2,0,0,12.5555,S
0,3,male,18.8,3,0,9.8,S
0,2,male,24.1,0,0,30.4322,S
0,3,male,37.5,0,0,5.1975,S
1,3,female,27,0,1,11.8877,S
0,2,male,,0,0,33.8315,C
0,1,male,,1,2,40.7559,S
0,3,male,,0,0,4.9894,C
0,3,male,36.2,0,0,5.944,S
1,3,female,58.1,1,0,16.2116,S
1,1,male,21.2,1,0,87.6037,S
1,2,male,45.2,1,0,24.2448,S
1,3,male,30.3,0,0,8.6525,C
0,2,male,37.2,3,2,37.7273,C
0,1,male,23.8,1,1,66.7288,S
1,3,female,47,0,0,9.1954,S
0,1,male,18.5,0,0,59.7562,S
0,1,male,46.8,0,0,71.4837,S
0,3,male,50.7,1,1,16.4045,S
0,3,male,,2,0,8.5817,C
0,1,male,41.7,0,0,34.9881,S
1,1,male,45.7,0,0,106.5026,S
0,1,male,28.8,0,0,60.7139,S
0,1,male,30.9,0,2,59.0121,S
0,2,female,32.3,0,0,25.025,S
1,3,female,,1,0,15.1748,S
1,3,male,,0,1,8.9306,C
1,1,female,,0,0,19.5,S
0,1,male,29.6,0,0,100.0035,S
0,3,male,28.5,1,1,13.4785,S
0,3,male,,0,0,14.4688,S
0,3,male,28.2,1,0,16.7741,S
0,1,male,,0,5,71.7894,C
0,3,female,10,0,0,9.4415,C
0,3,male,,0,0,13.5234,S
0,2,male,,0,0,29.8442,Q
0,3,male,,0,0,11.7769,S
1,3,female,22.4,1,0,16.1692,S
1,3,male,27.7,0,0,18.5236,S
0,3,male,,0,0,8.1655,S
1,2,male,16.2,0,0,17.9658,S
0,3,male,,0,0,2.75,S
0,1,male,9.8,3,0,105.9514,C
1,3,male,46.6,0,0,10.4377,S
1,3,male,,1,0,9.7394,C
0,3,female,11.3,0,2,21.0903,S
1,1,male,38.4,0,0,19.5,Q
0,3,male,46.5,0,0,14.5474,C
0,3,male,13.7,0,0,2.75,S
1,3,female,21.5,0,0,5.8653,S
1,3,female,16,0,0,18.9902,C
0,3,male,3.6,0,0,21.0712,S
0,1,male,30.7,0,0,19.5,C
0,3,male,36.1,0,0,11.1629,S
0,3,male,42.3,1,0,5.4923,S
0,3,female,,0,0,6.873,S
0,1,male,7.2,0,1,100.6162,C
0,2,male,39.3,0,0,24.9765,S
1,2,male,36.5,0,1,25.1456,S
1,2,female,36.1,0,0,31.3084,S
0,2,male,45.6,1,0,30.5023,S
1,2,female,,4,0,39.46,S
1,3,male,9.6,0,0,12.6051,S
1,3,male,0.42,0,0,15.7574,S
0,2,male,0.42,0,0,17.6802,S
1,2,male,19.7,0,0,35.4127,S
1,1,female,23.4,0,2,119.4495,S
1,2,female,,1,1,33.3362,Q
1,1,male,,0,0,86.2386,S
0,2,male,36.4,1,0,16.3338,Q
1,3,female,19.4,0,0,9.9833,Q
1,1,male,24.7,0,0,104.4881,C
1,1,female,51.8,0,0,19.5,S
0,1,male,39.3,2,0,66.8502,S
0,3,male,32.2,4,0,27.4795,C
0,3,male,,0,2,22.1224,S
1,1,female,,0,0,27.6252,S
1,2,female,17.6,0,0,40.4389,S
1,2,female,56.6,0,0,22.1565,S
1,2,male,,0,0,25.415,S
1,3,female,65.1,0,1,6.6612,S
1,2,male,,0,0,6,C
1,1,female,0.42,0,0,68.223,Q
0,3,male,3.4,0,0,4.2917,S
0,3,male,0.42,0,2,15.8875,C
0,3,female,26.1,1,0,15.5712,S
0,3,male,14.3,0,1,6.6019,S
0,2,male,24.5,1,0,14.4155,S
0,3,male,40.8,0,0,16.1102,S
1,2,female,22.6,1,0,16.4586,S
1,1,female,26.4,1,0,92.3114,S
0,2,male,9.5,2,0,32.7105,C
1,2,male,33,0,0,23.0313,S
1,3,male,16.8,1,0,17.6367,S
0,3,male,49.8,1,0,16.7595,S
0,1,male,32.2,0,0,38.8283,S
0,3,male,43,1,0,11.2882,C
1,3,male,4,0,1,16.1212,S
1,1,male,24,1,0,34.2538,S
0,3,male,,1,1,20.3338,S
0,1,male,61.8,0,1,44.4319,S
1,2,female,48.2,1,0,32.7242,Q
0,3,male,36.5,1,2,17.8461,C
1,3,female,31.6,1,0,14.3721,S
0,2,male,15.4,0,0,6,S
1,3,female,28.2,1,0,10.6095,S
1,1,male,47.2,0,2,97.4721,Q
1,1,male,28.3,0,1,113.4294,S
1,3,female,37.4,2,0,7.45,C
1,3,female,11.6,1,1,19.0764,S
0,3,male,40.3,1,0,10.3886,C
0,2,female,26.9,0,1,27.9551,S
0,3,male,34.7,0,0,15.3004,S
0,3,male,45.4,1,2,19.4806,S
1,1,female,42.8,2,0,187.5156,S
1,3,female,32.2,0,2,21.7748,S
0,1,male,16.7,0,0,63.4096,S
1,3,female,22.8,0,1,15.205,C
0,3,male,8.3,0,0,10.8172,C
0,2,male,21.5,1,0,38.2078,S
1,2,male,27.9,1,0,39.1601,S
0,3,male,37.6,0,0,11.5765,S
1,1,male,35.5,0,1,84.8019,C
1,1,female,28,0,0,88.5701,S
1,3,female,0.42,0,0,11.1002,S
0,3,male,36.5,0,0,10.6776,S
0,3,female,42.4,0,0,6.6785,S
1,1,female,10.5,1,0,156.2229,S
0,2,female,5.3,0,0,6,S
0,2,male,55.5,1,1,27.4456,S
0,3,male,15.6,0,0,11.1026,S
1,3,male,23.9,0,4,17.7863,S
0,3,female,50.2,0,0,12.3078,S
1,1,female,,1,0,36.7785,C
1,2,female,,0,0,18.1892,S
0,3,male,19.9,0,2,12.5765,S
0,1,male,47.7,0,0,118.7799,S
1,1,male,39.5,0,0,52.9315,S
1,2,female,16,0,2,10.7,S
0,2,male,13.7,0,0,20.4846,S
0,3,male,27.7,1,0,11.1954,S
1,1,male,,1,0,83.7246,C
0,3,female,19.7,0,0,14.8412,S
0,1,female,19.6,0,1,77.1696,S
0,3,male,24,0,0,12.1645,S
1,3,female,6.9,0,0,11.9407,C
1,3,female,,1,0,5.1,S
1,3,female,,0,0,6.727,S
1,2,female,35,0,1,26.6581,S
0,3,female,36.6,0,2,21.5899,S
1,3,female,35.7,0,2,11.7938,C
0,1,male,35,0,0,167.1979,S
0,3,male,48.7,0,0,10.8252,S
0,3,male,39.1,0,5,22.4749,C
0,2,male,37.3,0,1,10.9505,C
0,1,male,,0,0,189.7019,S
1,3,male,26.7,2,1,21.0164,C
0,3,male,51.2,1,0,11.6732,C
1,3,female,,0,0,2.75,C
0,1,female,38.7,0,1,36.848,S
0,2,female,16.7,0,0,30.7288,S
0,3,male,25.1,0,0,8.4423,S
0,2,male,37,0,0,35.4015,S
0,3,female,,3,0,21.5818,S
